ID,Name,Concepticon_ID,Concepticon_Gloss,note,similarity
1_i,I,1209,I,,2
2_all,all,98,ALL,,2
3_ashes,ashes,646,ASH,,2
4_bark,bark,1204,BARK,,2
5_belly,belly,1251,BELLY,,2
6_big,big,1202,BIG,,2
7_bird,bird,937,BIRD,,2
8_bite,bite,1403,BITE,,2
9_black,black,163,BLACK,,2
10_blood,blood,946,BLOOD,,2
11_bone,bone,1394,BONE,,2
12_breast,breast,1402,BREAST,,2
15_cloud,cloud,1489,CLOUD,,2
16_cold,cold,1287,COLD,,2
17_come,come,1446,COME,,2
18_die,die,1494,DIE,,2
19_dog,dog,2009,DOG,,2
20_drink,drink,1401,DRINK,,2
21_dry,dry,1398,DRY,,2
22_ear,ear,1247,EAR,,2
23_earth,earth,1228,EARTH (SOIL),,2
24_eat,eat,1336,EAT,,2
25_egg,egg,744,EGG,,2
26_eye,eye,1248,EYE,,2
28_feather,feather,1201,FEATHER,,2
29_fire,fire,221,FIRE,,2
30_fish,fish,227,FISH,,2
31_foot,foot,1301,FOOT,,2
32_full,full,1429,FULL,,2
33_give,give,1447,GIVE,,2
34_good,good,1035,GOOD,,2
35_green,green,1425,GREEN,,2
36_hair,hair,1040,HAIR,,2
37_hand,hand,1277,HAND,,2
38_head,head,1256,HEAD,,2
39_hear,hear,1408,HEAR,,2
40_heart,heart,1223,HEART,,2
41_horn,horn,1393,HORN (ANATOMY),,2
42_kill,kill,1417,KILL,,2
43_knee,knee,1371,KNEE,,2
44_know,know,1410,KNOW (SOMETHING),,2
45_leaf,leaf,628,LEAF,,2
47_liver,liver,1224,LIVER,,2
48_long,long,1203,LONG,,2
49_louse,louse,1392,LOUSE,,2
50_man,man,1554,MAN,,2
51_many,many,1198,MANY,,2
52_meat,meat,634,MEAT,,2
53_moon,moon,1313,MOON,,2
54_mountain,mountain,639,MOUNTAIN,,2
55_mouth,mouth,674,MOUTH,,2
56_name,name,1405,NAME,,2
57_neck,neck,1333,NECK,,2
58_new,new,1231,NEW,,2
59_night,night,1233,NIGHT,,2
60_nose,nose,1221,NOSE,,2
61_not,not,1240,NOT,,2
62_one,one,1493,ONE,,2
63_person,person,683,PERSON,,2
64_rain,rain,658,RAIN (PRECIPITATION),,2
65_red,red,156,RED,,2
66_road,road,667,ROAD,,2
67_root,root,670,ROOT,,2
68_round,round,1395,ROUND,,2
69_sand,sand,671,SAND,,2
73_sit,sit,1416,SIT,,2
74_skin,skin,763,SKIN,,2
75_sleep,sleep,1585,SLEEP,,2
76_small,small,1246,SMALL,,2
77_smoke,smoke,778,SMOKE (EXHAUST),,2
78_stand,stand,1442,STAND,,2
79_star,star,1430,STAR,,2
80_stone,stone,857,STONE,,2
81_sun,sun,1343,SUN,,2
82_swim,swim,1439,SWIM,,2
83_tail,tail,1220,TAIL,,2
84_that,that,78,THAT,,2
85_this,this,1214,THIS,,2
86_thou,thou,1215,THOU,,2
88_tongue,tongue,1205,TONGUE,,2
89_tooth,tooth,1380,TOOTH,,2
90_tree,tree,906,TREE,,2
91_two,two,1498,TWO,,2
93_warm,warm,1232,WARM,,2
94_water,water,948,WATER,,2
95_we,we,1212,WE,,2
96_what,what,1236,WHAT,,2
97_white,white,1335,WHITE,,2
98_who,who,1235,WHO,,2
99_woman,woman,962,WOMAN,,2
100_yellow,yellow,1424,YELLOW,,2
