NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	all	98	ALL
2	ashes	646	ASH
3	bark	1204	BARK
4	belly	1251	BELLY
5	big	1202	BIG
6	bird	937	BIRD
7	bite	1403	BITE
8	black	163	BLACK
9	blood	946	BLOOD
10	bone	1394	BONE
11	breast	1402	BREAST
12	burn (tr.)	2102	BURN
13	claw (nail)	72	CLAW
14	cloud	1489	CLOUD
15	cold	1287	COLD
16	come	1446	COME
17	die	1494	DIE
18	dog	2009	DOG
19	drink	1401	DRINK
20	dry	1398	DRY
21	ear	1247	EAR
22	earth	1228	EARTH (SOIL)
23	eat	1336	EAT
24	egg	744	EGG
25	eye	1248	EYE
26	fat (n.)	1282	FAT (FROM ANIMALS)
27	feather	1201	FEATHER
28	fire	221	FIRE
29	fish	227	FISH
30	foot	1301	FOOT
31	full	1429	FULL
32	give	1447	GIVE
33	good	1035	GOOD
34	green	1425	GREEN
35	hair	1040	HAIR
36	hand	1277	HAND
37	head	1256	HEAD
38	hear	1408	HEAR
39	heart	1223	HEART
40	horn	1393	HORN (ANATOMY)
41	I	1209	I
42	kill	1417	KILL
43	knee	1371	KNEE
44	know	1410	KNOW (SOMETHING)
45	leaf	628	LEAF
46	lie (down)	1411	LIE (REST)
47	liver	1224	LIVER
48	long	1203	LONG
49	louse	1392	LOUSE
50	man	1554	MAN
51	many	1198	MANY
52	meat	634	MEAT
53	moon	1313	MOON
54	mountain	639	MOUNTAIN
55	mouth	674	MOUTH
56	name	1405	NAME
57	neck	1333	NECK
58	new	1231	NEW
59	night	1233	NIGHT
60	nose	1221	NOSE
61	not	1240	NOT
62	one	1493	ONE
63	person	683	PERSON
64	rain	658	RAIN (PRECIPITATION)
65	red	156	RED
66	road	667	ROAD
67	root	670	ROOT
68	round	1395	ROUND
69	sand	671	SAND
70	say		
71	see		
72	seed		
73	sit	1416	SIT
74	skin	763	SKIN
75	sleep	1585	SLEEP
76	small	1246	SMALL
77	smoke	778	SMOKE (EXHAUST)
78	stand	1442	STAND
79	star	1430	STAR
80	stone	857	STONE
81	sun	1343	SUN
82	swim	1439	SWIM
83	tail	1220	TAIL
84	that	78	THAT
85	this	1214	THIS
86	thou	1215	THOU
87	to fly		
88	tongue	1205	TONGUE
89	tooth	1380	TOOTH
90	tree	906	TREE
91	two	1498	TWO
92	walk (go)	1443	WALK
93	warm	1232	WARM
94	water	948	WATER
95	we	1212	WE
96	what	1236	WHAT
97	white	1335	WHITE
98	who	1235	WHO
99	woman	962	WOMAN
100	yellow	1424	YELLOW
